Power
t(s)	P(W)
 6.596679688e-009	1.155757113e+012
 6.606445313e-009	1.165786612e+012
 6.616210938e-009	1.175660921e+012
 6.625976563e-009	1.185377812e+012
 6.635742188e-009	1.19493283e+012
 6.645507813e-009	1.204325319e+012
 6.655273438e-009	1.213550297e+012
 6.665039062e-009	1.22260711e+012
 6.674804687e-009	1.231491826e+012
 6.684570313e-009	1.240202478e+012
 6.694335938e-009	1.248738804e+012
 6.704101563e-009	1.257095299e+012
 6.713867188e-009	1.265272095e+012
 6.723632813e-009	1.273267356e+012
 6.733398438e-009	1.281079509e+012
 6.743164063e-009	1.288706195e+012
 6.752929687e-009	1.29614807e+012
 6.762695312e-009	1.303401857e+012
 6.772460938e-009	1.310467686e+012
 6.782226563e-009	1.317343724e+012
 6.791992188e-009	1.324030755e+012
 6.801757813e-009	1.330526683e+012
 6.811523438e-009	1.336833081e+012
 6.821289063e-009	1.342946935e+012
 6.831054687e-009	1.348868899e+012
 6.840820312e-009	1.354600546e+012
 6.850585937e-009	1.360140829e+012
 6.860351563e-009	1.365489353e+012
 6.870117188e-009	1.370647036e+012
 6.879882813e-009	1.375614403e+012
 6.889648438e-009	1.380389618e+012
 6.899414063e-009	1.384978317e+012
 6.909179688e-009	1.389376569e+012
 6.918945312e-009	1.39358883e+012
 6.928710937e-009	1.397612741e+012
 6.938476562e-009	1.401451184e+012
 6.948242188e-009	1.405104554e+012
 6.958007813e-009	1.408574423e+012
 6.967773438e-009	1.411863413e+012
 6.977539063e-009	1.414971523e+012
 6.987304688e-009	1.417901113e+012
 6.997070313e-009	1.420651528e+012
 7.006835937e-009	1.423227093e+012
 7.016601562e-009	1.42562807e+012
 7.026367188e-009	1.427857474e+012
 7.036132813e-009	1.429915566e+012
 7.045898438e-009	1.431806673e+012
 7.055664063e-009	1.433528828e+012
 7.065429688e-009	1.435086881e+012
 7.075195313e-009	1.436482535e+012
 7.084960938e-009	1.43771802e+012
 7.094726562e-009	1.438795825e+012
 7.104492187e-009	1.439716606e+012
 7.114257813e-009	1.440484426e+012
 7.124023438e-009	1.441099547e+012
